instance,method,family,distance,vehicles,ontime_p50,ontime_p95,ontime_mean,feasible
R204,SAA64-b0p7,R,991.0,8,75.0,77.0,76.0,True
R204,Gamma1,R,1165.565,8,84.0,87.0,85.5,True
R204,Gamma2,R,1173.84,8,84.0,87.0,85.5,True
R205,DET,R,1018.0,8,99.05,99.58,97.49,True
R205,Q120,R,,0,,,,
R205,Q1405,R,,0,,,,
R205,SAA16-b0p3,R,1111.0,8,32.0,33.0,32.5,True
R205,SAA32-b0p5,R,1180.0,8,32.0,33.0,32.5,True
R205,SAA64-b0p7,R,1208.0,8,32.0,33.0,32.5,True
R205,Gamma1,R,1472.6,8,31.0,32.0,31.5,True
R205,Gamma2,R,1455.68,8,31.0,32.0,31.5,True
R206,DET,R,962.0,8,99.05,99.58,97.49,True
R206,Q120,R,,0,,,,
R206,Q1405,R,,0,,,,
R206,SAA16-b0p3,R,1042.0,8,46.5,52.0,49.25,True
R206,SAA32-b0p5,R,1113.0,8,46.5,52.0,49.25,True
R206,SAA64-b0p7,R,1118.0,8,46.5,52.0,49.25,True
R206,Gamma1,R,1278.845,8,45.0,50.0,47.5,True
R206,Gamma2,R,1322.07,8,45.0,50.0,47.5,True
R207,DET,R,904.0,8,99.05,99.58,97.49,True
R207,Q120,R,,0,,,,
R207,Q1405,R,,0,,,,
R207,SAA16-b0p3,R,960.0,8,66.0,71.0,68.5,True
R207,SAA32-b0p5,R,1036.0,8,66.0,71.0,68.5,True
R207,SAA64-b0p7,R,1056.0,8,66.0,71.0,68.5,True
R207,Gamma1,R,1241.388,8,68.0,71.0,69.5,True
R207,Gamma2,R,1233.06,8,68.0,71.0,69.5,True
R208,DET,R,846.0,8,99.05,99.58,97.49,True
R208,Q120,R,,0,,,,
R208,Q1405,R,,0,,,,
R208,SAA16-b0p3,R,905.0,8,92.0,93.0,92.5,True
R208,SAA32-b0p5,R,974.0,8,92.0,93.0,92.5,True
R208,SAA64-b0p7,R,986.0,8,92.0,93.0,92.5,True
R208,Gamma1,R,1143.984,8,84.0,85.0,84.5,True
R208,Gamma2,R,1160.68,8,84.0,85.0,84.5,True
R209,DET,R,948.0,8,99.05,99.58,97.49,True
R209,Q120,R,,0,,,,
R209,Q1405,R,,0,,,,
R209,SAA16-b0p3,R,1037.0,8,41.0,46.0,43.5,True
R209,SAA32-b0p5,R,1088.0,8,41.0,46.0,43.5,True
R209,SAA64-b0p7,R,1095.0,8,41.0,46.0,43.5,True
R209,Gamma1,R,1279.005,8,51.0,53.0,52.0,True
R209,Gamma2,R,1315.78,8,51.0,53.0,52.0,True
R210,DET,R,982.0,8,99.05,99.58,97.49,True
R210,Q120,R,,0,,,,
R210,Q1405,R,,0,,,,
R210,SAA16-b0p3,R,1034.0,8,48.0,52.0,50.0,True
R210,SAA32-b0p5,R,1159.0,8,48.0,52.0,50.0,True
R210,SAA64-b0p7,R,1120.0,8,48.0,52.0,50.0,True
R210,Gamma1,R,1307.573,8,60.0,61.0,60.5,True
R210,Gamma2,R,1322.72,8,60.0,61.0,60.5,True
R211,DET,R,859.0,8,99.05,99.58,97.49,True
R211,Q120,R,,0,,,,
R211,Q1405,R,,0,,,,
R211,SAA16-b0p3,R,921.0,8,75.0,79.0,77.0,True
R211,SAA32-b0p5,R,998.0,8,75.0,79.0,77.0,True
R211,SAA64-b0p7,R,1015.0,8,75.0,79.0,77.0,True
R211,Gamma1,R,1209.784,8,64.0,66.05,65.025,True
R211,Gamma2,R,1194.74,8,64.0,66.05,65.025,True
RC101,DET,RC,,0,,,,
RC101,Q120,RC,,0,,,,
RC101,Q1405,RC,,0,,,,
RC101,SAA16-b0p3,RC,1792.0,16,27.0,29.0,28.0,True
RC101,SAA32-b0p5,RC,1988.0,18,27.0,29.0,28.0,True
RC101,SAA64-b0p7,RC,1981.0,17,27.0,29.0,28.0,True
RC101,Gamma1,RC,,0,,,,
RC101,Gamma2,RC,,0,,,,
RC102,DET,RC,,0,,,,
RC102,Q120,RC,,0,,,,
RC102,Q1405,RC,,0,,,,
RC102,SAA16-b0p3,RC,1667.0,14,35.0,44.0,39.5,True
RC102,SAA32-b0p5,RC,1728.0,15,35.0,44.0,39.5,True
RC102,SAA64-b0p7,RC,1753.0,15,35.0,44.0,39.5,True
RC102,Gamma1,RC,,0,,,,
RC102,Gamma2,RC,,0,,,,
RC103,DET,RC,1341.0,12,99.05,99.58,97.49,True
RC103,Q120,RC,,0,,,,
RC103,Q1405,RC,,0,,,,
RC103,SAA16-b0p3,RC,1379.0,12,35.0,41.0,38.0,True
RC103,SAA32-b0p5,RC,1530.0,13,35.0,41.0,38.0,True
